state,district,category,type,date,crimes
Malaysia,All,assault,all,2016-01-01,22327
Malaysia,All,assault,all,2017-01-01,21366
Malaysia,All,assault,all,2018-01-01,16902
Malaysia,All,assault,all,2019-01-01,16489
Malaysia,All,assault,all,2020-01-01,13279
Malaysia,All,assault,all,2021-01-01,11495
Malaysia,All,assault,all,2022-01-01,10348
Malaysia,All,assault,causing_injury,2016-01-01,5531
Malaysia,All,assault,causing_injury,2017-01-01,5024
Malaysia,All,assault,causing_injury,2018-01-01,4660
Malaysia,All,assault,causing_injury,2019-01-01,4712
Malaysia,All,assault,causing_injury,2020-01-01,4118
Malaysia,All,assault,causing_injury,2021-01-01,4063
Malaysia,All,assault,causing_injury,2022-01-01,3807
Malaysia,All,assault,murder,2016-01-01,456
Malaysia,All,assault,murder,2017-01-01,379
Malaysia,All,assault,murder,2018-01-01,323
Malaysia,All,assault,murder,2019-01-01,310
Malaysia,All,assault,murder,2020-01-01,253
Malaysia,All,assault,murder,2021-01-01,243
Malaysia,All,assault,murder,2022-01-01,240
Malaysia,All,assault,rape,2016-01-01,1886
Malaysia,All,assault,rape,2017-01-01,1835
Malaysia,All,assault,rape,2018-01-01,1648
Malaysia,All,assault,rape,2019-01-01,1738
Malaysia,All,assault,rape,2020-01-01,1582
Malaysia,All,assault,rape,2021-01-01,1553
Malaysia,All,assault,rape,2022-01-01,1712
Malaysia,All,assault,robbery_gang_armed,2016-01-01,65
Malaysia,All,assault,robbery_gang_armed,2017-01-01,31
Malaysia,All,assault,robbery_gang_armed,2018-01-01,31
Malaysia,All,assault,robbery_gang_armed,2019-01-01,21
Malaysia,All,assault,robbery_gang_armed,2020-01-01,6
Malaysia,All,assault,robbery_gang_armed,2021-01-01,5
Malaysia,All,assault,robbery_gang_armed,2022-01-01,16
Malaysia,All,assault,robbery_gang_unarmed,2016-01-01,10907
Malaysia,All,assault,robbery_gang_unarmed,2017-01-01,9779
Malaysia,All,assault,robbery_gang_unarmed,2018-01-01,6543
Malaysia,All,assault,robbery_gang_unarmed,2019-01-01,6058
Malaysia,All,assault,robbery_gang_unarmed,2020-01-01,2992
Malaysia,All,assault,robbery_gang_unarmed,2021-01-01,3071
Malaysia,All,assault,robbery_gang_unarmed,2022-01-01,2432
Malaysia,All,assault,robbery_solo_armed,2016-01-01,19
Malaysia,All,assault,robbery_solo_armed,2017-01-01,3
Malaysia,All,assault,robbery_solo_armed,2018-01-01,9
Malaysia,All,assault,robbery_solo_armed,2019-01-01,9
Malaysia,All,assault,robbery_solo_armed,2020-01-01,5
Malaysia,All,assault,robbery_solo_armed,2021-01-01,2
Malaysia,All,assault,robbery_solo_armed,2022-01-01,7
Malaysia,All,assault,robbery_solo_unarmed,2016-01-01,3463
Malaysia,All,assault,robbery_solo_unarmed,2017-01-01,4315
Malaysia,All,assault,robbery_solo_unarmed,2018-01-01,3688
Malaysia,All,assault,robbery_solo_unarmed,2019-01-01,3641
Malaysia,All,assault,robbery_solo_unarmed,2020-01-01,4323
Malaysia,All,assault,robbery_solo_unarmed,2021-01-01,2558
Malaysia,All,assault,robbery_solo_unarmed,2022-01-01,2134
Malaysia,All,property,all,2016-01-01,90028
Malaysia,All,property,all,2017-01-01,77804
Malaysia,All,property,all,2018-01-01,71760
Malaysia,All,property,all,2019-01-01,66967
Malaysia,All,property,all,2020-01-01,52344
Malaysia,All,property,all,2021-01-01,41479
Malaysia,All,property,all,2022-01-01,40465
Malaysia,All,property,break_in,2016-01-01,18760
Malaysia,All,property,break_in,2017-01-01,16201
Malaysia,All,property,break_in,2018-01-01,15742
Malaysia,All,property,break_in,2019-01-01,16497
Malaysia,All,property,break_in,2020-01-01,14040
Malaysia,All,property,break_in,2021-01-01,11352
Malaysia,All,property,break_in,2022-01-01,10585
Malaysia,All,property,theft_other,2016-01-01,22857
Malaysia,All,property,theft_other,2017-01-01,19444
Malaysia,All,property,theft_other,2018-01-01,20065
Malaysia,All,property,theft_other,2019-01-01,19603
Malaysia,All,property,theft_other,2020-01-01,16725
Malaysia,All,property,theft_other,2021-01-01,16695
Malaysia,All,property,theft_other,2022-01-01,15434
Malaysia,All,property,theft_vehicle_lorry,2016-01-01,3050
Malaysia,All,property,theft_vehicle_lorry,2017-01-01,2102
Malaysia,All,property,theft_vehicle_lorry,2018-01-01,1761
Malaysia,All,property,theft_vehicle_lorry,2019-01-01,1549
Malaysia,All,property,theft_vehicle_lorry,2020-01-01,921
Malaysia,All,property,theft_vehicle_lorry,2021-01-01,639
Malaysia,All,property,theft_vehicle_lorry,2022-01-01,718
Malaysia,All,property,theft_vehicle_motorcar,2016-01-01,10607
Malaysia,All,property,theft_vehicle_motorcar,2017-01-01,8480
Malaysia,All,property,theft_vehicle_motorcar,2018-01-01,7413
Malaysia,All,property,theft_vehicle_motorcar,2019-01-01,6817
Malaysia,All,property,theft_vehicle_motorcar,2020-01-01,4599
Malaysia,All,property,theft_vehicle_motorcar,2021-01-01,2849
Malaysia,All,property,theft_vehicle_motorcar,2022-01-01,3271
Malaysia,All,property,theft_vehicle_motorcycle,2016-01-01,34754
Malaysia,All,property,theft_vehicle_motorcycle,2017-01-01,31577
Malaysia,All,property,theft_vehicle_motorcycle,2018-01-01,26779
Malaysia,All,property,theft_vehicle_motorcycle,2019-01-01,22501
Malaysia,All,property,theft_vehicle_motorcycle,2020-01-01,16059
Malaysia,All,property,theft_vehicle_motorcycle,2021-01-01,9944
Malaysia,All,property,theft_vehicle_motorcycle,2022-01-01,10457
Johor,All,assault,all,2016-01-01,2820
Johor,All,assault,all,2017-01-01,2578
Johor,All,assault,all,2018-01-01,1880
Johor,All,assault,all,2019-01-01,1923
Johor,All,assault,all,2020-01-01,1384
Johor,All,assault,all,2021-01-01,925
Johor,All,assault,all,2022-01-01,973
Johor,All,assault,causing_injury,2016-01-01,708
Johor,All,assault,causing_injury,2017-01-01,614
Johor,All,assault,causing_injury,2018-01-01,578
Johor,All,assault,causing_injury,2019-01-01,599
Johor,All,assault,causing_injury,2020-01-01,447
Johor,All,assault,causing_injury,2021-01-01,365
Johor,All,assault,causing_injury,2022-01-01,333
Johor,All,assault,murder,2016-01-01,70
Johor,All,assault,murder,2017-01-01,66
Johor,All,assault,murder,2018-01-01,43
Johor,All,assault,murder,2019-01-01,35
Johor,All,assault,murder,2020-01-01,36
Johor,All,assault,murder,2021-01-01,21
Johor,All,assault,murder,2022-01-01,30
Johor,All,assault,rape,2016-01-01,274
Johor,All,assault,rape,2017-01-01,196
Johor,All,assault,rape,2018-01-01,187
Johor,All,assault,rape,2019-01-01,206
Johor,All,assault,rape,2020-01-01,164
Johor,All,assault,rape,2021-01-01,144
Johor,All,assault,rape,2022-01-01,147
Johor,All,assault,robbery_gang_armed,2016-01-01,10
Johor,All,assault,robbery_gang_armed,2017-01-01,1
Johor,All,assault,robbery_gang_armed,2018-01-01,2
Johor,All,assault,robbery_gang_armed,2019-01-01,1
Johor,All,assault,robbery_gang_armed,2020-01-01,1
Johor,All,assault,robbery_gang_armed,2021-01-01,1
Johor,All,assault,robbery_gang_armed,2022-01-01,0
Johor,All,assault,robbery_gang_unarmed,2016-01-01,1308
Johor,All,assault,robbery_gang_unarmed,2017-01-01,1220
Johor,All,assault,robbery_gang_unarmed,2018-01-01,740
Johor,All,assault,robbery_gang_unarmed,2019-01-01,753
Johor,All,assault,robbery_gang_unarmed,2020-01-01,257
Johor,All,assault,robbery_gang_unarmed,2021-01-01,256
Johor,All,assault,robbery_gang_unarmed,2022-01-01,270
Johor,All,assault,robbery_solo_armed,2016-01-01,3
Johor,All,assault,robbery_solo_armed,2017-01-01,0
Johor,All,assault,robbery_solo_armed,2018-01-01,0
Johor,All,assault,robbery_solo_armed,2019-01-01,1
Johor,All,assault,robbery_solo_armed,2020-01-01,0
Johor,All,assault,robbery_solo_armed,2021-01-01,0
Johor,All,assault,robbery_solo_armed,2022-01-01,0
